param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(3,)",relu,100,400,-0.1803335835983222,364,-0.18037141261905834
"(3,)",relu,100,800,-0.1803335835983222,364,-0.18037141261905834
"(5,)",relu,100,200,-0.1464681636522837,157,-0.14574382323951526
"(5,)",relu,100,400,-0.1464681636522837,157,-0.14574382323951526
"(5,)",relu,100,800,-0.1464681636522837,157,-0.14574382323951526
"(7,)",relu,100,200,-0.14124728890552546,109,-0.13964608833193076
"(7,)",relu,100,400,-0.14124728890552546,109,-0.13964608833193076
"(7,)",relu,100,800,-0.14124728890552546,109,-0.13964608833193076
"(9,)",relu,100,200,-0.17444585578341268,340,-0.17308907022599873
"(9,)",relu,100,400,-0.17444585578341268,340,-0.17308907022599873
"(9,)",relu,100,800,-0.17444585578341268,340,-0.17308907022599873
"(11,)",relu,100,200,-0.1409066129285506,100,-0.13973866651604427
"(11,)",relu,100,400,-0.1409066129285506,100,-0.13973866651604427
"(11,)",relu,100,800,-0.1409066129285506,100,-0.13973866651604427
"(13,)",relu,100,200,-0.1371329474876954,49,-0.13496836654983105
"(13,)",relu,100,400,-0.1371329474876954,49,-0.13496836654983105
"(13,)",relu,100,800,-0.1371329474876954,49,-0.13496836654983105
"(15,)",relu,100,200,-0.1416580428618514,115,-0.1390331158897631
"(15,)",relu,100,400,-0.1416580428618514,115,-0.1390331158897631
"(15,)",relu,100,800,-0.1416580428618514,115,-0.1390331158897631
"(17,)",relu,100,200,-0.15878870434603132,250,-0.1567165601331358
"(17,)",relu,100,400,-0.15878870434603132,250,-0.1567165601331358
"(17,)",relu,100,800,-0.15878870434603132,250,-0.1567165601331358
"(19,)",relu,100,200,-0.13926809257460623,91,-0.1368708515656897
"(19,)",relu,100,400,-0.13926809257460623,91,-0.1368708515656897
"(19,)",relu,100,800,-0.13926809257460623,91,-0.1368708515656897
"(21,)",relu,100,200,-0.14360102029953556,133,-0.14160443181464702
"(21,)",relu,100,400,-0.14360102029953556,133,-0.14160443181464702
"(21,)",relu,100,800,-0.14360102029953556,133,-0.14160443181464702
"(1,)",relu,200,200,-0.24432452909515928,393,-0.2507129417925525
"(1,)",relu,200,400,-0.19851847427904884,382,-0.20301468568597839
"(1,)",relu,200,800,-0.19851847427904884,382,-0.20301468568597839
"(3,)",relu,200,200,-0.18344931892022812,373,-0.18353685168287093
"(3,)",relu,200,400,-0.18344931892022812,373,-0.18353685168287093
"(3,)",relu,200,800,-0.18344931892022812,373,-0.18353685168287093
"(5,)",relu,200,200,-0.1747066107772346,346,-0.1727068110247197
"(5,)",relu,200,400,-0.1747066107772346,346,-0.1727068110247197
"(5,)",relu,200,800,-0.1747066107772346,346,-0.1727068110247197
"(7,)",relu,200,200,-0.15079027514369775,187,-0.14939290278804354
"(7,)",relu,200,400,-0.15079027514369775,187,-0.14939290278804354
"(7,)",relu,200,800,-0.15079027514369775,187,-0.14939290278804354
"(9,)",relu,200,200,-0.2112161256481145,387,-0.2108167176609604
"(9,)",relu,200,400,-0.2112161256481145,387,-0.2108167176609604
"(9,)",relu,200,800,-0.2112161256481145,387,-0.2108167176609604
"(11,)",relu,200,200,-0.14875869498690647,166,-0.14789046557335428
"(11,)",relu,200,400,-0.14875869498690647,166,-0.14789046557335428
"(11,)",relu,200,800,-0.14875869498690647,166,-0.14789046557335428
"(13,)",relu,200,200,-0.13979681375024883,97,-0.13765608719383957
"(13,)",relu,200,400,-0.13979681375024883,97,-0.13765608719383957
"(13,)",relu,200,800,-0.13979681375024883,97,-0.13765608719383957
"(15,)",relu,200,200,-0.1528365839167642,202,-0.15007046141522581
