param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(13,)",relu,100,800,-0.8137935825761582,194,-0.7056929466145174
"(15,)",relu,100,200,-0.812964025487708,188,-0.7283679046399634
"(15,)",relu,100,400,-0.8188771805044255,296,-0.7039232230317732
"(15,)",relu,100,800,-0.8226237011381434,345,-0.697466224197177
"(17,)",relu,100,200,-0.8124474631645274,175,-0.7317121073299374
"(17,)",relu,100,400,-0.8177183196833123,255,-0.7001143097554872
"(17,)",relu,100,800,-0.8243881296069793,360,-0.6851352039139301
"(19,)",relu,100,200,-0.8179185034858445,263,-0.7120485018998812
"(19,)",relu,100,400,-0.8273192534077708,370,-0.6864962782398236
"(19,)",relu,100,800,-0.8315942722108419,379,-0.6754417406192466
"(21,)",relu,100,200,-0.8069382677709296,107,-0.7042233166871581
"(21,)",relu,100,400,-0.820868395006169,333,-0.6804944903561877
"(21,)",relu,100,800,-0.8227790347132403,349,-0.6764240899224532
"(1,)",relu,200,200,-0.8373830312692612,384,-0.8274898161444094
"(1,)",relu,200,400,-0.8276956321738961,373,-0.8150559376062008
"(1,)",relu,200,800,-0.8276956321738961,373,-0.8150559376062008
"(3,)",relu,200,200,-0.8097837834851284,130,-0.7937164314251338
"(3,)",relu,200,400,-0.8096913476672339,128,-0.7936544408646679
"(3,)",relu,200,800,-0.8096913476672339,128,-0.7936544408646679
"(5,)",relu,200,200,-0.8178196439550757,261,-0.7813725497315078
"(5,)",relu,200,400,-0.8126697807227631,182,-0.7630897742541493
"(5,)",relu,200,800,-0.8112933030120196,153,-0.7623507804935441
"(7,)",relu,200,200,-0.8385699417358572,387,-0.8003343803192136
"(7,)",relu,200,400,-0.8171067158159376,238,-0.7695106439823027
"(7,)",relu,200,800,-0.808413109389415,119,-0.7552077507323012
"(9,)",relu,200,200,-0.8165174606014853,226,-0.7747712409899191
"(9,)",relu,200,400,-0.8116180332731778,163,-0.7579363335419197
"(9,)",relu,200,800,-0.8117567691365242,167,-0.7574020276261038
"(11,)",relu,200,200,-0.8067779479191381,105,-0.739489496342974
"(11,)",relu,200,400,-0.8131340249672327,189,-0.7299824095982178
"(11,)",relu,200,800,-0.8128434021917341,184,-0.7287384446657305
"(13,)",relu,200,200,-0.8068120073684675,106,-0.7560035246388261
"(13,)",relu,200,400,-0.8114475564303898,157,-0.7351098947294495
"(13,)",relu,200,800,-0.8098761965090508,132,-0.7259048623185762
"(15,)",relu,200,200,-0.8085461204112917,121,-0.7480911493026402
"(15,)",relu,200,400,-0.8103564772110483,137,-0.7225437990347818
"(15,)",relu,200,800,-0.8172966553080114,245,-0.7164167559329486
